instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-offset-depot,clustered-offset-depot_n100_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m5_r01.txt,100,5,rand+nn,452.75662800418525,4.9e-05,True,ortools-gls,150.352625,5.000217,True,ok,302.404003,201.129846
clustered-offset-depot,clustered-offset-depot_n100_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m5_r01.txt,100,5,2opt+greed,364.6040118315329,0.000111,True,ortools-gls,150.352625,5.000217,True,ok,214.251387,142.499266
clustered-offset-depot,clustered-offset-depot_n100_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m5_r01.txt,100,5,lkh-wrapper-v2,145.9611641447281,0.005732,True,ortools-gls,150.352625,5.000217,True,ok,-4.391461,-2.920774
clustered-offset-depot,clustered-offset-depot_n100_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n100_m5_r01.txt,100,5,lkh-wrapper-v3,180.76144956699233,0.039142,True,ortools-gls,150.352625,5.000217,True,ok,30.408825,20.225004
clustered-offset-depot,clustered-offset-depot_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m2_r01.txt,200,2,rand+nn,585.9596185604448,8.7e-05,True,ortools-gls,309.986524,5.000146,True,ok,275.973095,89.027449
clustered-offset-depot,clustered-offset-depot_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m2_r01.txt,200,2,2opt+greed,469.47332898889863,0.000769,True,ortools-gls,309.986524,5.000146,True,ok,159.486805,51.449593
clustered-offset-depot,clustered-offset-depot_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m2_r01.txt,200,2,lkh-wrapper-v2,305.76191234022764,0.022903,True,ortools-gls,309.986524,5.000146,True,ok,-4.224612,-1.362837
clustered-offset-depot,clustered-offset-depot_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m2_r01.txt,200,2,lkh-wrapper-v3,311.20101685186336,0.053899,True,ortools-gls,309.986524,5.000146,True,ok,1.214493,0.391789
clustered-offset-depot,clustered-offset-depot_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m3_r01.txt,200,3,rand+nn,766.6443969729006,7.5e-05,True,ortools-gls,314.771184,5.000628,True,ok,451.873213,143.556093
clustered-offset-depot,clustered-offset-depot_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m3_r01.txt,200,3,2opt+greed,633.8263915579486,0.000463,True,ortools-gls,314.771184,5.000628,True,ok,319.055208,101.360996
clustered-offset-depot,clustered-offset-depot_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m3_r01.txt,200,3,lkh-wrapper-v2,306.48582047649853,0.022002,True,ortools-gls,314.771184,5.000628,True,ok,-8.285364,-2.632186
clustered-offset-depot,clustered-offset-depot_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m3_r01.txt,200,3,lkh-wrapper-v3,316.387901127069,0.050406,True,ortools-gls,314.771184,5.000628,True,ok,1.616717,0.513617
clustered-offset-depot,clustered-offset-depot_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m5_r01.txt,200,5,rand+nn,1071.049159616082,7.4e-05,True,ortools-gls,316.136383,5.001262,True,ok,754.912777,238.793387
clustered-offset-depot,clustered-offset-depot_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m5_r01.txt,200,5,2opt+greed,860.9887932979691,0.000332,True,ortools-gls,316.136383,5.001262,True,ok,544.85241,172.347265
clustered-offset-depot,clustered-offset-depot_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m5_r01.txt,200,5,lkh-wrapper-v2,311.2230456918835,0.017036,True,ortools-gls,316.136383,5.001262,True,ok,-4.913337,-1.554183
clustered-offset-depot,clustered-offset-depot_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n200_m5_r01.txt,200,5,lkh-wrapper-v3,309.7801579372544,0.026376,True,ortools-gls,316.136383,5.001262,True,ok,-6.356225,-2.010596
