instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,18,1392.982783725451,0.000454,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,19,1399.1500932403217,0.000479,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,20,1445.6463333089425,0.000447,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,1,762.3528489583322,0.586477,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,2,769.8312370999511,0.54198,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,3,768.4346984057782,0.577577,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,4,782.7747281223735,0.526612,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,5,766.2848068639894,0.505811,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,6,779.4789677018273,0.537638,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,7,759.5946102342103,0.488015,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,8,769.5021189175296,0.540495,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,9,766.2700441733916,0.547384,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,10,758.3064773601019,0.535517,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,11,761.7712603388421,0.528953,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,12,783.9694852591223,0.53654,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,13,781.7765309537651,0.497347,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,14,775.6406138800033,0.526951,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,15,762.2242224862144,0.529398,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,16,775.0829811911274,0.523205,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,17,759.228364093943,0.540986,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,18,761.8118385277594,0.538185,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,19,793.1843254021126,0.512215,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,20,745.6210867856777,0.545989,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,1,763.0907213770699,0.006932,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,2,756.4852318066022,0.009358,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,3,756.4852318066022,0.009777,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,4,755.6986248691645,0.011846,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,5,756.4852318066022,0.011736,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,6,756.4852318066022,0.010291,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,7,756.4852318066022,0.010633,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,8,756.4852318066022,0.010557,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,9,756.4852318066022,0.01139,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,10,756.4852318066022,0.011377,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,11,756.4852318066022,0.009729,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,12,756.4852318066022,0.010119,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,13,765.315978665793,0.008045,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,14,756.4852318066022,0.011519,True
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,15,751.4101882046973,0.009963,True
